모델명,연비,연료타입,차급,외형,엔진,가격,이미지,출력
2025 포드 머스탱(7세대),7.2 ~ 9.6km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,8470,http://file.carisyou.com/upload/2024/02/15/FILE_202402151109151320.png,319.0
2024 링컨 네비게이터(4세대),7.2km/ℓ,가솔린,대형,SUV,4WD,15040,http://file.carisyou.com/upload/2022/09/22/FILE_202209221120572550.png,446.0
2025 푸조 408,12.9km/ℓ,가솔린,준중형,해치백,FF,4690,http://file.carisyou.com/upload/2023/05/23/FILE_202305230102114180.png,131.0
2025 제네시스 G90(RS4),8.0 ~ 9.3km/ℓ,가솔린,대형,"리무진,세단외형전체>",FR,1,http://file.carisyou.com/upload/2021/12/14/FILE_202112140254196890.png,380.0
2025 KGM 무쏘 칸(Q261),10.2 ~ 10.3km/ℓ,디젤,대형,픽업트럭,FR,3909,http://file.carisyou.com/upload/2025/01/20/FILE_202501200426517090.png,202.0
2025 KGM 무쏘 스포츠(Q261),10.4km/ℓ,디젤,대형,픽업트럭,FR,3689,http://file.carisyou.com/upload/2025/01/20/FILE_202501200422473040.png,202.0
2025 기아 EV3,5.1 ~ 5.4km/kwh,전기,소형,SUV,2WD,4895,http://file.carisyou.com/upload/2024/06/04/FILE_202406041058132380.png,
2025 혼다 오딧세이(5세대),9.0km/ℓ,가솔린,대형,RV,FF,6290,http://file.carisyou.com/upload/2025/02/27/FILE_202502270204194410.png,284.0
2025 아우디 RS6(8세대),7.1km/ℓ,가솔린,중형,왜건,4WD,18002,http://file.carisyou.com/upload/2023/12/29/FILE_202312290935204760.png,630.0
2025 아우디 RSQ8,6.5km/ℓ,가솔린,대형,SUV,4WD,19202,http://file.carisyou.com/upload/2025/02/27/FILE_202502270202346640.png,640.0
2025 벤츠 SL(7세대),8.8km/ℓ,가솔린,중형,컨버터블,FR,15560,http://file.carisyou.com/upload/2023/03/20/FILE_202303200122191330.png,421.0
2025 현대 뉴 마이티,-,디젤,준대형,트럭,FR,7900,http://file.carisyou.com/upload/2021/03/18/FILE_202103180931098530.png,170.0
2025 KGM 무쏘 EV(O100),4.2km/kwh,전기,중형,픽업트럭,2WD,5300,http://file.carisyou.com/upload/2025/02/14/FILE_202502140259224690.png,
2025 기아 타스만,7.7 ~ 8.6km/ℓ,가솔린,대형,픽업트럭,FR,5240,http://file.carisyou.com/upload/2025/03/05/FILE_202503051042490580.png,281.0
2025 렉서스 LX(4세대),8.0km/ℓ,가솔린/하이브리드,대형,SUV,4WD,16587,http://file.carisyou.com/upload/2025/02/17/FILE_202502170952381770.png,415.0
