모델명,연비,연료타입,차급,외형,엔진,가격,이미지,출력
2026 렉서스 ES(7세대),17.2km/ℓ,가솔린/하이브리드,중형,세단,FF,7188,http://file.carisyou.com/upload/2024/01/18/FILE_202401180100060120.png,178.0
2025 렉서스 LS(5세대),7.9 ~ 9.6km/ℓ,"가솔린,가솔린/하이브리드",대형,세단,4WD,14527,http://file.carisyou.com/upload/2022/11/17/FILE_202211171011302310.png,422.0
2025 아우디 A3(4세대),11.3 ~ 12.4km/ℓ,가솔린,준중형,세단,FF,5130,http://file.carisyou.com/upload/2025/01/22/FILE_202501220523253440.png,204.0
2025 현대 파비스,-,디젤,준대형,트럭,FR,1,http://file.carisyou.com/upload/2021/05/20/FILE_202105201105343060.png,280.0
2025 로터스 에미라,7.7 ~ 9.5km/ℓ,가솔린,준중형,쿠페,MR,14990,http://file.carisyou.com/upload/2021/11/01/FILE_202111010256102580.png,364.0
2025 KGM 뉴 렉스턴 스포츠,10.4km/ℓ,디젤,대형,픽업트럭,FR,3689,http://file.carisyou.com/upload/2025/01/20/FILE_202501200422473040.png,202.0
2025 KGM 뉴 렉스턴 스포츠 칸,10.2 ~ 10.3km/ℓ,디젤,대형,픽업트럭,FR,3909,http://file.carisyou.com/upload/2025/01/20/FILE_202501200426517090.png,202.0
2025 KGM 뉴 렉스턴(Y461),10.2 ~ 11.6km/ℓ,디젤,중형,SUV,FR,5967,http://file.carisyou.com/upload/2022/03/10/FILE_202203100117042950.png,202.0
2025 비야디 아토 3,4.7km/kwh,전기,소형,SUV,2WD,3330,http://file.carisyou.com/upload/2025/01/16/FILE_202501160330016950.png,
2025 제네시스 뉴 일렉트리파이드 GV70,4.5km/kwh,전기,중형,SUV,4WD,7530,http://file.carisyou.com/upload/2025/01/16/FILE_202501160957313300.png,
2025 미니 미니 에이스맨,5.4km/kwh,전기,소형,SUV,2WD,6000,http://file.carisyou.com/upload/2025/01/15/FILE_202501150346435350.png,
2025 아우디 Q3(2세대),9.9 ~ 14.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,5826,http://file.carisyou.com/upload/2022/06/02/FILE_202206021106043010.png,150.0
2025 아우디 RS7(2세대),7.3km/ℓ,가솔린,준대형,해치백,4WD,18790,http://file.carisyou.com/upload/2023/12/21/FILE_202312211026362540.png,630.0
2025 아우디 A7(2세대),9.5 ~ 15.7km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,해치백,4WD,1357,http://file.carisyou.com/upload/2025/01/13/FILE_202501131125294360.png,252.0
2025 벤츠 C클래스(5세대),12.0km/ℓ,가솔린,준중형,세단,FR,6590,http://file.carisyou.com/upload/2022/11/21/FILE_202211210924075450.png,204.0
2025 제네시스 뉴 G80(RG3),8.2 ~ 10.5km/ℓ,가솔린,준대형,세단,FR,8573,http://file.carisyou.com/upload/2023/12/27/FILE_202312270112559470.png,304.0
